τριάριοι,triarii:0.455074092414
σάκρα,archium:0.440611419196
ἀποτέλειος,sufes:0.425112317441
ἐπιβουλία,proditus:0.721896597441
κιθαρῳδέω,cithara:0.584263386015,psallo:0.551463055746
σκέλλω,exsicco:0.579797721626,torridus:0.568843252292
ἱπποκέλευθος,equinus:0.389481582606
θηλυμανής,mulierosus:0.373286550153
γνάθων,inorus:0.520358766343,bucculentus:0.487330447341
ἐπίκλησις,cognomentum:0.438999844614
ὑποθερμαίνω,percandefacio:0.457406662731
θύσις,uesanio:0.450145944135
καθοπλίζω,obarmo:0.389675080252
ὀμόργνυμι,siccatio:0.494139483368
καταστέλλω,inordino:0.264046413614
ἀποξενολογέω,locito:0.304917697734
ῥινάω,lima:0.328992909543
οἰκοφθορία,substantiola:0.311645631948
ὑποκρούω,euerbero:0.294319330549
μιαιφονέω,occisio:0.468233694413
οἰκόνομος,dispensator:0.371754104798
καταθλέω,exercitamentum:0.401882463133
εὐσέβεια,pietas:0.366996492795
ἀγυμνασία,proludium:0.653550764434,exercitamentum:0.522867437133
σύμπληξις,collisus:0.396993373404
συμπεριποιέω,paratio:0.310108329448
περικάλυμμα,theristrum:0.615836463682,amicimen:0.528529565996
δηιάνειρα,excidio:0.433767285873
πλημμέλημα,peccatus:0.695911912643,admissum:0.557717474473
ἑξηκοστός,sexagesimus:0.27070622781
κατεγγυάω,pignero:0.306427048675
φαρμακεία,ueneficium:0.200358038224
μηχανάομαι,struo:0.25030316535
πραγμάτιον,causula:0.452440775179
ἐκθυμία,immaturitas:0.204215551177
κοινοβωμία,arula:0.253749384385
ὀστέον,redo:0.180178083068
ὑπερτιμάω,niceterium:0.266466429891
ψυχρήλατος,frigiditas:0.476915278476
ἐπιχρίω,superinungo:0.528219102971,unctito:0.510125751883
ἐπιπάλλω,praecutio:0.29173798598
πηρόω,trunco:0.406914906069
ἀλυπία,indolentia:0.425695593438
ἀποτέμνω,caesa:0.752004601026,praecido:0.69875301552
μνημοσύνη,repetentia:0.821196091439,recordatus:0.472553349659
παλίντονος,lapidatio:0.250457227302
παμπήδην,colleuo:0.430425768107
ἀλεγίζω,prospicus:0.270335912795
οἰστρήλατος,subteractus:0.248653742856
πλημμέλεια,peccamen:0.435320583095
πείθω,credo:0.344280240679
πολυσχιδής,bisulcus:0.462940830945
παμβδελυρός,pudibilis:0.49881239127
οὐσιάζω,appositus:0.348601860861
βάρακος,ophthalmias:0.964790947655,phager:0.95789502165
ἐμβελής,percurso:0.193492766054
μεγαλοπρεπής,grandio:0.207405026661
κατασκάπτω,defodio:0.280565819553
παρεμφαίνω,offulgeo:0.285301491692
καρπογονία,praegnatio:0.225854007285
ἐπιγουνίδιος,serperastra:0.612260712463,ingeniculo:0.529092397423
φαιδρύνω,splendido:0.329352240808
συγκληρόω,subsortior:0.403654535413
ἀπαρρησίαστος,praelicenter:0.264930178344
εὐλείμων,pratensis:0.37832778169
αὐτοπάτωρ,anguigena:0.489280130783
εὔπωλος,corticosus:0.244134743699
συγκαταγιγνώσκω,insemel:0.44717089832
γενεαλογία,uestigatio:0.360204578721
τέτρατος,tetartemorion:0.822041104606,quadrans:0.646005817601
ὡρακιάω,languificus:0.261671818667
ἱπποβουκόλος,canterinus:0.523140362446,caballinus:0.472137374128
ἐγχρονίζω,chronius:0.394132242505
ἐκκειμένως,resutus:0.314757417429
παράσπασις,raptorius:0.510948946118,intractio:0.470430141934
πρός,ad:0.287856820895
κασσύω,transuo:0.512908257346
ἐνέπω,renarro:0.505131445977
ὁρκωμοτέω,iuramentum:0.87437741205,deiero:0.789735405603
ἐγκαθηβάω,ephebicus:0.525115496261
στρατήγημα,strategema:0.501437338376
ἄδυτος,delubrum:0.37977492215
διεξάγω,perducto:0.328014266841
ἑλκοποιέω,rhagades:0.282398659809
προβολή,proiectus:0.252862019598
σιρομάστης,uncinatus:0.232554799778
ἀργύρωμα,argenteus:0.496376015017,argentum:0.487810708527
ἐμμέμονα,impassibilis:0.257014849058
δενδρώδης,palumbinus:0.339760647749
βάκχη,pirum:0.42428803608
νηέω,structus:0.648365845152,congeries:0.477783261534
καταφερής,acclinis:0.28682994893
γογγύζω,demurmuro:0.25777062838
ἶδος,calor:0.298669782134
σιπύη,farinarius:0.576359218625,lauabrum:0.53692115606
φώκη,obsigno:0.734510495611
κοσμητικός,anchusa:0.188363310215
τρίγληνος,unoculus:0.628881751207
περισκοπέω,peruideo:0.240773109581
ἀποφθεγματικός,monopolium:0.227028458276
ἐννέωρος,nouendialis:0.506655106953
ἀπαγορευτικός,prohibitorius:0.736596957363
σιγαλόεις,rutilus:0.357170023403
καταχαλκόω,aerifer:0.485360484453
συφορβός,sybotes:0.912830225845
πυργήρης,ephippiatus:0.378768533525
καθιδρύω,fano:0.28619837787
ἔμπυρος,obustus:0.395132886819
εὔχαρις,propitius:0.286374742996
φίλτρον,medicatus:0.539430191926
ἑβδομηκοντάκις,septuagies:0.98610983274,septuaginta:0.640199437949
φαινόλη,epitogium:0.415594212402
λάκκος,fouea:0.444112618029
λάμια,fabularis:0.334602303064
ὀλιγωρέω,posthabeo:0.264671358108
φάλαγξ,phalanx:0.202290941095
νοτέω,udus:0.452836062372
τηλεδαπός,illatenus:0.499608429165
ἰδνόομαι,conduplico:0.37565962343
δηλέομαι,diritas:0.217616364911
ἀμπελών,hortulus:0.573625224371
βάκτρευμα,furcillo:0.30637774968
σύντονος,uiolens:0.222730036734
ὀργίλος,acclinis:0.237909890265
ὅδευσις,permeatus:0.950715038669,meaculum:0.586038556922
εὐνάζω,repono:0.369995951258
ὁμοιότης,instar:0.437548129437
προσπίπτω,incido:0.505972825488
χαλκίοικος,scenites:0.404808574715
ἐπικατασφάζω,leto:0.447543662177
ἑπτάστερος,septunx:0.485809591403
πολίζω,inaedifico:0.588437680957,aedifico:0.553322496093
μέλεος,infelicito:0.262243970925
ἐντινάσσω,quassabilis:0.434454432256
εὔγραμμος,puteanus:0.346472583605
ἐπιπόλιος,semicanus:0.374744696965
παρόραμα,mendum:0.251391875667
ἐπαναπλέω,reuecto:0.310904596714
ὀργυιαῖος,sarabara:0.394179236969
ἐρίβρομος,altitonans:0.529967590445,conclamatio:0.501325481234
ὄσιρις,lacta:0.523829852645
νάγμα,congesticius:0.393381106783
ἀπόφραξις,obstructio:0.428660646551
ὧρος,anniculus:0.431524121398
ἀποσκοπέω,introspicio:0.581637371709,perspecto:0.574557313708
ἐργάτης,ergata:0.191089809747
μεγαλορρημονέω,gloriator:0.628843108318,alazon:0.597467402313
ἐξαργέω,percrudus:0.419335237342
ἀγένειος,puellus:0.293870970702
δοάσσατο,addecet:0.202273177462
ψευδουργός,excaecator:0.278667280123
ἐπεκτείνω,prolixo:0.750871552607,extento:0.613872887558
προφοβέομαι,praetimeo:0.701542955318,praeformido:0.639330155552
πολυθρέμματος,pecorosus:0.885033197153,perdiues:0.481369941671
ἐπίληψις,pignoriscapio:0.262469587622
παραπλέκω,plexus:0.305211146993
ἀνάρρινον,enaris:0.424730658343
μνῆστις,recordatus:0.675274844902
χλοερός,uiresco:0.363604298083
συνθραύω,frio:0.548428994568,interfringo:0.511669477434
παρακόπτω,discido:0.471087063103
ἀνεφάλλομαι,subsilio:0.619142906069,circumsilio:0.520894663312
θάκησις,assessus:0.46999602773
κροκάλη,litoreus:0.797376201443,litoralis:0.593191428601
ἀναφυσιάω,flato:0.311248519428
ἐκκρήμναμαι,praependeo:0.530633775161,circumpendeo:0.529404687911
προσαναζητέω,expiscor:0.358041049023
κοινοδίκιον,intergarritus:0.243859462815
ἀνιάομαι,reconcinno:0.409513230354
ὑπεραισχύνομαι,pudefactus:0.76181613453,depudet:0.595353818193
παρατρέφω,compasco:0.364878718294
ἀνοσιότης,scelerosus:0.298076990373
οἴ,hei:0.768370265598,uae:0.714811868184
ἡγεμόνευμα,ductio:0.638655855368,perductio:0.567408735937
φιλόμολπος,saltatus:0.378278026595
ἐλέφας,ebur:0.460787213549
διφρηλάτης,aurigarius:0.428711372925
ἀλλαχόθεν,alicunde:0.475283960311
κύημα,eiectamentum:0.230339429744
αὐτοκέλευθος,euasio:0.410326925955
ἀποξενόω,expectoro:0.327997691473
αἰσυμνήτης,uilico:0.282932778565
ἔκρυσις,diametrum:0.394521170566
ὑπόροφος,praemollis:0.343224567016
ἀντίλεξις,obloquium:0.585109106006
συμπαρακελεύομαι,irritatus:0.302844461789
ἐπεσβόλος,stultiloquus:0.229132102447
αἰγιπόδης,monopodius:0.491177035443
κῦρος,regnum:0.192024448386
μετασχηματισμός,cubitorius:0.345366652827
σκυτικός,herbarius:0.31955939639
ἀποθυστάνιον,rhytium:0.660273079178,potorius:0.65018755758
θυίω,fatuor:0.377038992799
κακοδαιμονία,infortunium:0.391804748828
θυία,cedrium:0.339647919938
θυγατριδοῦς,nurus:0.593706570711,pronepos:0.526338447476
κόκκος,coccum:0.446768665111
προσωνέομαι,praestino:0.334361704512
ναός,delubrum:0.25736390846
ναόω,attulo:0.407323502008
ἀποβλάστημα,taleola:0.551990940132,congermino:0.483804457977
παρακέλομαι,introuoco:0.659712741151
καταμεθύσκω,uinolentus:0.666117771922,mattus:0.513833688608
ἱππομανής,hippomanes:0.224087213351
συγκατήγορος,insimulator:0.437992071442
παμφαής,florus:0.406657416138
στομίας,caballinus:0.415704677402
ἐπιδορπισμός,epidipnis:0.96914717627
ὀρνιθομανέω,trygona:0.637188429094,phoenicurus:0.611903938971
διφθέρινος,scorteus:0.216453202382
τραγέλαφος,aegoceros:0.629232626028,hircinus:0.570346888968
ἑξηκονταέτης,sexagenarius:0.66480679382
ἀθηρηλοιγός,flabello:0.369075819766
δυσπάρευνος,aegreo:0.491465641779
διανίσσομαι,transtineo:0.829319087987,laecasin:0.584808493165
προστυπής,consectatrix:0.450393180523
πρωτοστατέω,primulus:0.628093272424,prototomus:0.527642033188
πολλάκις,totiens:0.289226959011
μαλερός,praeferox:0.267426473298
δυσφωνία,aspritudo:0.697313811055
ἀπαείρω,emigro:0.54115569534
ἐπίταξις,imperatus:0.46408259952
γρῖφος,griphus:0.226508817528
ὀκτωκαίδεκα,duodeuiginti:0.617591728239,octodecim:0.471693095124
ἀντίβλεψις,transpectus:0.370676302548
ἀμπέχω,quaestiono:0.248460214504
ἀλαπάζω,emulgeo:0.336680288984
τολμητής,audaculus:0.30001741151
ἀνοιστρέω,distimulo:0.521771326958,mania:0.472393221978
κῆβος,cercopithecus:0.397882538621
περικοπή,sectio:0.329609679413
ἀκιδνός,perinfirmus:0.65911683611,perimbecillus:0.583048274243
προφορά,incomitio:0.247659276625
ἐφίημι,permitto:0.45798161592
ἐξαυλίζομαι,laecasin:0.233699312287
μυθογραφία,graphiarius:0.280547312347
ἐπέμβασις,gradatus:0.370410980749
ἐνείλλω,circumuestio:0.395495052404
τελεόμηνος,bimestris:0.393426698187
τελεσιουργέω,gyrinus:0.177580591714
προσβάλλω,inicio:0.265852934797
ὕκης,acharne:0.977732445471,hippus:0.917462103935
δίβολος,indeiectus:0.267473118583
ἀρχαιόπλουτος,ditiae:0.388909724133
τρόμος,tremor:0.572297224013,tremulus:0.523345858196
τεκνοποιία,genitus:0.408446826049
πολύκριτος,dispesco:0.376948616509
μετεννέπω,intersono:0.420635123067
ἐϋμμελίης,fraxineus:0.45192866207
ἐποίχομαι,beto:0.405958388044
ῥέμβος,omniuagus:0.713457815637,erratio:0.621864668741
ἐπῳδή,cantio:0.418809341641
τιμαλφής,interspiratio:0.433649411446
ὑπεκβαίνω,effugius:0.410979659022
συνεράω,conuolo:0.364268366216
παρακμάζω,praeterfluo:0.333491239147
ἰχθύδιον,pisciculus:0.97160770359,pauxillus:0.593965852119
διαποικίλλω,inorno:0.332210075556
ἑκατοστός,centesimus:0.548873589329,ducentesima:0.520846994547
ὀλιγοχρονέω,diutule:0.457369315458
ἀνεκδιήγητος,inenarrabilis:0.195508880896
θηητήρ,admirator:0.786000026641,mirator:0.782858601691
ἐπισυνάπτω,interstruo:0.356681761745
εὐάν,nysion:0.486967608706,hederaceus:0.476401318048
συντάραξις,turbamentum:0.54390351285
ἐμπήγνυμι,congelo:0.483523253166,gelo:0.482549344754
ὑποθέω,celatum:0.286902967838
βύθιος,grauiusculus:0.325304651867
ἐγκαλέω,insimulo:0.378612605572
ἔμβρωμα,cauernula:0.288517044445
ἀπογίγνομαι,absento:0.372934550995
ἠπιόω,indolesco:0.238326033037
προσπαλτόθεν,abusque:0.352303332948
ξενοδοκέω,protestor:0.191360210181
συμφορητός,collectaneus:0.259823046788
φημί,inquam:0.537188835201
ἀποδιατρίβω,reprehenso:0.363759511183
ὕβριστος,procax:0.302254821517
προεκκαθαίρω,circumpurgo:0.745948783378,defaeco:0.551844864165
φυτικός,herbarius:0.316228697198
βληχωνίας,blechon:0.65904974053,puleiatus:0.63684477883
διασίζω,instrido:0.521199319861,insibilo:0.505307922943
περιφάνεια,circumquaque:0.258480569946
ἐφευρίσκω,uestigo:0.488411133674
τριετηρίς,trieteris:0.587388540436,triennia:0.552928107127
κόραξ,coruus:0.292893792264
εὐωδία,olfactus:0.323109480147
προσαρτάω,adalligo:0.487424142211
ἀνατατικός,minitabundus:0.96684484675,comminatio:0.563303619186
ἀφιλόπονος,opificium:0.601470588973,opusculum:0.516846837861
κατακερτομέω,oblatro:0.443694332564
καταδρομή,incursio:0.251940705255
τύκος,securifer:0.299726356153
προὔργου,famulo:0.271999719319
μαχαιροφορέω,lano:0.300220742267
οὐρέω,fluento:0.255950372968
τάξος,taxus:0.426322270837
ἀναξύω,superrasus:0.713975990111,circumscalptus:0.61349297292
ἰσημερινός,aequinoctialis:0.227330733431
πεμπτημόριον,quintanus:0.516230648441
σκυλοδέψης,coriarius:0.236756775132
γειτονία,quadrantarius:0.222462670707
πλοῖον,puppis:0.249869287889
ἀγλαόθρονος,praefulgidus:0.295254968992
συνοικέσιον,innuptus:0.517626869291,camelae:0.495533726911
ἔα,hem:0.477594562189
ἰάσιμος,sanabilis:0.366796900114
εὐήκοος,audientia:0.280315421663
διαιτητής,disceptator:0.434809261653
καμηλοπάρδαλις,camelopardalis:0.80831940454
βαλανηφάγος,balanitis:0.658195900152,glandifer:0.604448930565
εὔμαρις,calceamen:0.29893465696
παρίσθμιον,tonsilla:0.342202286029
καταμώκησις,illudium:0.854806620144
ἐπαγωγός,inuitabilis:0.299023464527
συμμιμέομαι,pseudourbanus:0.520184101776
ἐπίμαχος,auxiliator:0.187044607824
διακάθαρσις,smecticus:0.362759629489
μαγγανεύω,usio:0.255956168721
διαλφιτόω,farinarius:0.424538747198
ὑπερθαύμαστος,plerus:0.181654766536
θυρσοφόρος,bacifer:0.338612851591
δασμός,tributarius:0.632373851538
κυέω,praegno:0.429509805475
ἀποφράσσω,offulcio:0.433398410708
ψήφων,ratiocinator:0.512840592563
γραμμάτιον,distractus:0.296411456905
τετράκυκλος,petoritum:0.651552283805,carruca:0.486296942028
προσικνέομαι,reporrigo:0.332880562404
δρύοψ,parra:0.445908326855
ἄφυλλος,frondatio:0.413447406303
ἐκσαλάσσω,perstimulo:0.425029762691
βλοσυρόφρων,micropsychus:0.486515611491
ἀβρότονον,absinthium:0.20778951717
μνημονευτέον,gleucinus:0.513720833034
εὔοικος,protagion:0.241232294019
αὐτός,ipse:0.313995171807
ἀπανάστασις,commigratio:0.462508433972
ὁ,is:0.242547329454
τρωί̈αθεν,ros:0.219879386348
στιγμός,punctiuncula:0.86166432434,punctio:0.638256723822
τύφλωσις,caecitas:0.403210753847
κάτω,infra:0.497452700338
προστιλάω,muscerda:0.34761627799
κάλαμος,calamus:0.436446064001
μειλίχη,sinistrorsus:0.272098300234
ἄρχω,ordior:0.234681751976
δέρρις,membrana:0.433796174267
αὐτουργικός,idiographus:0.20700780887
ἐνδιαπρέπω,antesto:0.321846115057
ῥαδινός,praetener:0.374459805376
ἀγγελιαφόρος,sarcocolla:0.363955278381
συνθοινάτωρ,compotio:0.330783171913
διαπορθμεύω,transporto:0.415297050088
πῶρος,petrinus:0.516050639366,tecolithos:0.486831781159
πεντηκονταετής,quinquagenarius:0.589692641392,quinquagiens:0.547450270064
ἐπίπονος,laboriosus:0.291289555793
ἐξιδιάζομαι,pigneror:0.299847351344
κερόεις,corniger:0.717990666412,bouarius:0.668853760833
κατατεφρόω,cinerosus:0.623923561875,superintego:0.471703981781
ἰαμβίζω,iambeus:0.397408065816
ἐργοπόνος,luparius:0.316202606981
τέος,ens:0.422695964942
εὐσύνοπτος,perspicabilis:0.301489969498
ἀνάθεσις,dilatio:0.297995652126
ἀπορούω,resilio:0.404061352579
ἄσκαρος,calceamen:0.435322405937
εὔθετος,putealis:0.407515654586
σκύλαξ,catulus:0.463214970684
κνῆστις,spinula:0.277616218815
κακοσιτία,embaenetica:0.486526647176
ὁμοιοειδής,cyparissias:0.579990684764,helioscopion:0.559652405317
ἀκή,spiculo:0.325301459654
στόνυξ,cuspidatim:0.360404992799
εἰσίημι,amitto:0.372257737121
ἑπτακαιδεκάπους,septendecim:0.67447082941
ἡμιτάλαντον,sesquiiugerum:0.519556567784
δρᾶσις,uictimo:0.220992456846
δημητριάς,helepolis:0.394654747073
περιτρώγω,arrodo:0.523540106293,praerodo:0.478748178833
περδικοθήρας,conchita:0.410253315953
παραφεύγω,uls:0.480972544481
εὕρεσις,repertus:0.786527824574
πόσθη,praeputio:0.443014001796
ῥαβδονομέω,sculna:0.27448577472
διχόρροπος,dubie:0.426178808325
ἄζηλος,abascantus:0.24428323385
ἀπηρτισμένως,exquisitim:0.310077035114
οἶδμα,tumentia:0.52959495228
ἀποξύνω,cuspido:0.244411169527
συμμοναρχέω,subuoluo:0.296763900632
κνηκός,giluus:0.53832084823
προεκπηδάω,praesulto:0.714269684626,subsilio:0.470321532133
κλοῦστρον,placenta:0.9199499126,gratilla:0.81929473649
ἔνδροσος,rorulentus:0.793953947507,roridus:0.771516707981
συνελίσσω,subuoluo:0.699079298191
κατασήπω,putesco:0.384592617396
φαρμακίς,ueteratrix:0.407019583405
τάχα,forsit:0.460608865532
διφαλαγγία,laciniatim:0.34000266983
σκῆψις,causatio:0.50733131808,excuso:0.470589628263
ὑποτροπάδην,tropaeus:0.760568504308,reuersio:0.552940294675
παρρησία,libertas:0.216582828514
πολυτεκνία,illiberis:0.348869365678
χρύσωμα,aurosus:0.556247025008,aurarius:0.52713024986
ἐνόρκιος,deiurium:0.785382660631,iuramentum:0.607564582362
ἀχορήγητος,indonatus:0.269371194531
θησαυροποιός,repositio:0.384741754148
στεναγμός,gemebundus:0.873872104938
προχάζω,praeuolo:0.606884254047,praecelero:0.488466317459
γογγυλάτης,cestrosphendone:0.288018549278
ἐπίπασμα,diapasma:0.523856746511
νεοδαμώδης,plebicola:0.254358700937
κατευναστής,cacula:0.773761071088,cacus:0.769889032975
προχειρίζω,discepto:0.185326976424
ὁδοποιός,deuortium:0.436703051083
ἐξαναζέω,inferuefacio:0.623415820633,referueo:0.607700939922
φρικιάω,cohorresco:0.39668017081
φυγαδικός,exsulo:0.373030089257
ἔρις,rixa:0.342966836256
κακοείμων,semiamictus:0.247468032549
ἐνυγροθηρευτής,psychroluta:0.209349701261
φιλοπότης,amasiunculus:0.49282270839,amasius:0.481016762636
ἐγχρίμπτω,incurso:0.288857072338
τεμενίτης,pollinaris:0.331547140411
φιλέραστος,amorabundus:0.320903677806
παραθερμαίνω,iurgiosus:0.485707600662
παραβιβάζω,emigro:0.265930469332
μάγευμα,incanto:0.356058351622
δυωδεκάβοιος,buthysia:0.38146234875
χλανίδιον,pallula:0.21950420617
ἀλγίων,peioro:0.265071858156
ἐλάττωσις,diametrum:0.433894485099
ἀεσίφρων,perdelirus:0.23354431139
ἀστραβηλάτης,quartarius:0.283949675036
ἀρετόομαι,peregregius:0.346599363197
ἐπίκειμαι,incubo:0.369392976746
λιμαίνω,crudito:0.248992806068
ἀσελγής,lasciuus:0.330008455651
προβόλιον,suculus:0.47501140523
εὐρυόδεια,multiuius:0.412283503975
ἀχρηστέω,reiculus:0.318816599754
αἰόλλω,conuario:0.188744763829
σπλεκόω,consuetio:0.241879664217
ἀνεξεύρετος,irrepertus:0.39942112279
εἰλυφάζω,subuoluo:0.660196491769,peruoluo:0.539166169502
θειάζω,inspiratio:0.235430678482
ὑπολύριος,harundinaceus:0.207029521797
ἀρή,pernicies:0.358486390428
δαμασίμβροτος,domitus:0.410871225305
ὑφαρπάζω,rapso:0.412428253108
προσσωρεύω,circumaggero:0.377807528197
ἀνέγκλιτος,impromptus:0.227664104564
παλίνδρομος,reuecto:0.565501170687
τορνευτολυρασπιδοπηγός,factitator:0.316775821203
φάληρον,oi:0.58158874439
ἀποβολεύς,desponsor:0.484474042264
ἀλητήρ,saltatus:0.710851199067,praesulto:0.576280903393
ἐγκαταλαμβάνω,subsequor:0.309365505232
βοτρυόπαις,sticula:0.601740968661
κόγχος,conchis:0.286740303189
ἀμόργη,expretus:0.261492055606
τειχομαχέω,oppugnatorius:0.223191173993
φυλλόκομος,laburnum:0.547102859646,praecrassus:0.496846073124
ἐξαναρπάζω,rapso:0.701041052371
ἀναφοβέω,perpauefacio:0.418430598893
ὄροφος,canna:0.262719110986
ταφήϊος,insepultus:0.491009115082
φοινικοστερόπας,erythros:0.441764653833
προκαθέζομαι,formicula:0.242608494088
προσέλκω,supertraho:0.426688085344
ἀντοικοδομέω,immunio:0.577205780668,instabilio:0.573151298683
ἐκμισθόω,locito:0.605081502978,eloco:0.579275527399
πρίστις,serrula:0.214102376496
πήλιον,choreus:0.398808382286
νανώδης,pumilus:0.281263853614
κλονέω,tumultuosus:0.21422146204
φλέβιον,interuenium:0.405295914109
ῥῆγμα,fractura:0.328687255231
κελαινόφρων,nocticolor:0.572761080268,pulleiaceus:0.543782188366
δεκαέτηρος,decennium:0.65344773294,bilustris:0.619755285343
ξυήλη,reduncus:0.281149292625
χείρων,peioro:0.308604532852
στεφανόω,corona:0.419566633461
πολύλογος,linguax:0.982950742545,multiloquus:0.634069008727
φλογώδης,flammeus:0.452078298828
τεσσαρακοσταῖος,quadragesimus:0.495768919476
προαίσθησις,praediuinatio:0.62337255421,praediuino:0.575580399583
δάφνινος,heluus:0.464888475968
κόριον,puellula:0.958598402165,infantula:0.89792423811
σαπφώ,hemina:0.215209658346
εὐθυωρία,directe:0.406842101126
δημοκοπία,plebecula:0.260188945406
κυκεών,concrementum:0.30700630613
ἀβεβαιότης,instabilitas:0.629643091542
ἐκλαλέω,effutio:0.344281529448
ἆσσον,interior:0.356643606574
ἀχανής,hiantia:0.377815041115
ὑποφέρω,regero:0.424790858329
συνδημαγωγέω,delenificus:0.181493219205
ἐρχατάομαι,oppilo:0.465559943877
κατόμνυμι,deiero:0.828249628611,iuramentum:0.791494802774
νυκτοπορία,euphrone:0.672839293316,abnocto:0.518703942911
κακόσχολος,nugatrix:0.454838614202
ἀνασειράζω,supertraho:0.481779227791
σιάλωμα,labrosus:0.187440893839
ἀμφιέννυμι,superinduo:0.319761309273
ἀμήτωρ,ametor:0.56042289391
σμάραγδος,smaragdinus:0.759880214249,pseudosmaragdus:0.659356284863
ἰσοτιμία,parilitas:0.459536618094
παραδιακονέω,praeseruio:0.539551040994,aduiuo:0.51341936734
παρακολουθητικός,secutorius:0.486854315105
ψώρα,psora:0.495216370687,scabres:0.487901542564
παρήγορος,consolator:0.453057155943
εὐρυάγυια,publicitus:0.27622377359
ἐλαφοειδής,ceruarius:0.608909265816,damula:0.558277541919
γενεθλιαλογία,genethliacus:0.347701047162
σύνδηλος,manifestarius:0.300403625328
τίνω,stipendior:0.180873412934
προσορμίζω,ancorarius:0.494580790835
λευκήρης,percandidus:0.300004612095
τολμηρός,audacia:0.252122370388
πρόσκοψις,infrictio:0.668849310406,attritio:0.548082841463
δυηπαθής,peracerbus:0.358154738203
ὑποτρόπιος,subalaris:0.294751739904
πατριάρχης,patriarcha:0.523823273459
φιλαυτία,met:0.66901662644
δάσσω,dispesco:0.313979741438
ἀναλογισμός,supputatio:0.327553753111
τραχύνω,confragosus:0.497732827437,aspretum:0.495847452517
παιδοσπορέω,regigno:0.314485584804
κάθειρξις,conclusus:0.400302841473
διαπατέω,supercalco:0.605497722438,exculco:0.512826005283
ἀποσημαίνω,prognosticon:0.231349304692
σύζυξ,iniunctus:0.458872707595
δυσπαθέω,condoleo:0.280825796531
ἐπικωλύω,districtio:0.399709281922
αὐτόσε,istim:0.287234914708
ἀταμίευτος,innabilis:0.434678273974
κυνοκοπέω,catulinus:0.501530998435
παραστρατηγέω,commurmuratio:0.175754149154
τῦφος,deliramentum:0.326274830292
προσδοκέω,cogitatio:0.374807948931
κακόνυμφος,plerus:0.175121005624
ἀτάλλω,acerus:0.220549579006
ἐπικατακοιμάομαι,supercubo:0.620700167776,perdormisco:0.591981899895
πρεπτός,clareo:0.201056991961
ἐξευρίσκω,reperio:0.502923118268
κεκραμένως,caseatus:0.266030828006
πολυύμνητος,famigeratus:0.502607434857
ψάω,infrico:0.406709216236
προσεμφανίζω,dissereno:0.25685706223
δειδίσσομαι,terrifico:0.56835684128
πλήμνη,rotula:0.357260938008
θριπήδεστος,uermiculatio:0.718591302741
ψάρ,sturnus:0.356799752366
ἐρικλάγκτης,multisonus:0.893992913738
παραιτέομαι,posco:0.182153588214
λιπάω,perungo:0.279695487881
αὐτοπρόσωπος,idiographus:0.377319977861
ἀποδιορίζω,depungo:0.283541904184
ἑλλέβορος,elleborus:0.809276300255,ueratrum:0.72322454029
